sentence,id_in_all,id_in_old
"Usual Frame: I want food, so I must be hungry. Reframe: I want food, so I might be tired.","physical-4","re-health-3"
"Usual Frame: I'm hungry, so I need food. Reframe: I'm hungry, so I need protein.","physical-9","re-health-4"
"Usual Frame: Exercising requires willpower and motivation. Reframe: Exercising is easier than not exercising if you turn it into a habit.","physical-10","re-health-5"
"Usual Frame: It's important to learn the best ways to exercise. Reframe: The best exercises are the ones you are willing to do.","physical-11","re-health-6"
"Usual Frame: Small acts of kindness are good. Reframe: There are no small acts of kindness.","social-29","re-social-7"
"Usual Frame: Learn to love yourself as you are. Reframe: Be glad your brain is pestering you to improve.","social-2","re-social-1"
"Usual Frame: No one seems to find me attractive. Reframe: I haven't met enough people.","social-7","re-social-3"
"Usual Frame: People with bad judgment often pursue dangerous and unproductive pleasures. Reframe: People need a minimum level of pleasure to make life worth living, and if they can't get it safely, they will get it unsafely.","mental-48","re-me-20"
"Usual Frame: Everyone is thinking about me. Reframe: You are only a bit player in their movie.","mental-8","re-me-2"
"Usual Frame: I am in pain. Reframe: I am in pain for a minute.","mental-28","re-me-11"
"Usual Frame: An insult is damaging to my mental health. Reframe: An insult is a confession that your accuser can't refute your opinion and/or has personal problems of some sort.","mental-10","re-me-4"
"Usual Frame: Some people have no willpower. They are weak. Reframe: Some people get more pleasure from certain vices than you do.","mental-49","re-me-21"
"Usual Frame: There are good days and bad. Reframe: All days are useful in different ways.","mental-50","re-17"
"Usual Frame: I feel like an impostor at my job. Reframe: Everyone is an impostor.","success-36","re-s-9"
"Usual Frame: Focus on being excellent at a skill that has commercial value. Reframe: Acquire skills that work well together and make you rare and flexible at the same time.","success-11","re-s-6"
"Usual Frame: I am unusually unlucky this happened to me. Reframe: Everyone has problems. No exceptions.","success-30","re-s-7"
"Usual Frame: Praise for your creation predicts you have a hit. Reframe: Only action predicts a hit, not words. Watch for people to extend or modify your creation.","success-40","re-s-12"
"Usual Frame: Stress comes with the job. Reframe: Reducing stress is your job.","mental-40","re-me-16"
"Usual Frame: You need to stop thinking negative thoughts. Reframe: You can't subtract negative thoughts. But you can crowd them out.","mental-30","re-me-12"
"Usual Frame: No one wants to talk to me. I'm boring. Reframe: Everyone enjoys talking to people who show interest in them.","mental-36","re-me-15"
"Usual Frame: Live in the now. Reframe: Imagine even your smallest actions influencing your future.","mental-58","re-21"
"Usual Frame: Happiness comes from within. Reframe: Use the external world to program your brain for happiness.","mental-60","re-22"
"Usual Frame: I am a priceless work of art that must be protected. Reframe: I am a potato that is easily replaced.","mental-22","re-me-8"
"Usual Frame: Coldness is pain and a signal I am in danger. Reframe: Coldness makes me healthier and stronger.","mental-13","re-me-5"
"Usual Frame: My stress and anxiety are caused by events in my life. Reframe: I won't care about any of those events on my deathbed.","mental-27","re-me-10"
"Usual Frame: People judge me, so I feel bad when I mess up. Reframe: People only care about themselves. They don't care what dumb thing I did recently, even if they mention it.","mental-39","re-me-14"
"Usual Frame: You are the result of your traumas. Reframe: You are a random bundle of loose wires.","mental-56","re-me-19"
